Age_Group,Population,AgeStart,Year,Sex,Cumulative_Population,Kx,C(x) - Kx,Smoothed C(x) - Kx,Smoothed C(x),Smoothed Population
0-4,5896313.0,0,2015,Both sexes,5896313.0,0.0,5896313.0,5798751.006302518,5798751.006302518,5798751.006302518
5-9,5128086.0,5,2015,Both sexes,11024399.0,2752871.0,8271528.0,8427983.42436975,11180854.42436975,5382103.418067233
10-14,4625950.5,10,2015,Both sexes,15650349.5,5505742.0,10144607.5,10233729.692190167,15739471.692190167,4558617.267820416
15-19,3995699.5,15,2015,Both sexes,19646049.0,8258612.999999999,11387436.0,11295253.529529296,19553866.529529296,3814394.8373391293
20-24,3208590.0,20,2015,Both sexes,22854639.0,11011484.0,11843155.0,11691029.242125522,22702513.242125522,3148646.7125962265
25-29,2454215.5,25,2015,Both sexes,25308854.5,13764354.999999998,11544499.500000002,11498741.721690072,25263096.72169007,2560583.4795645475
30-34,1917396.0,30,2015,Both sexes,27226250.5,16517225.999999998,10709024.500000002,10795286.44590703,27312512.445907027,2049415.7242169566
35-39,1604674.5,35,2015,Both sexes,28830925.0,19270097.0,9560828.0,9656769.478433326,28926866.478433326,1614354.0325262994
40-44,1311634.0,40,2015,Both sexes,30142559.0,22022968.0,8119591.0,8158507.468898744,30181475.468898743,1254608.9904654175
45-49,1030904.5,45,2015,Both sexes,31173463.5,24775838.999999996,6397624.500000004,6375027.652905913,31150866.65290591,969391.1840071678
50-54,791818.5,50,2015,Both sexes,31965282.0,27528709.999999996,4436572.000000004,4380067.852030317,31908777.852030315,757911.1991244033
55-59,609556.5,55,2015,Both sexes,32574838.5,30281580.999999996,2293257.5000000037,2246576.473820292,32528157.473820288,619379.6217899732
60-64,459613.5,60,2015,Both sexes,33034452.0,33034451.999999996,3.725290298461914e-09,46712.511797022074,33081164.51179702,553007.0379767306
0-4,6478381.0,0,2020,Both sexes,6478381.0,0.0,6478381.0,6422614.181965103,6422614.181965103,6422614.181965103
5-9,5747300.0,5,2020,Both sexes,12225681.0,3178563.125,9047117.875,9086980.729880422,12265543.854880422,5842929.672915319
10-14,5052225.0,10,2020,Both sexes,17277906.0,6357126.25,10920779.75,11043721.10585004,17400847.35585004,5135303.500969619
15-19,4547132.0,15,2020,Both sexes,21825038.0,9535689.375,12289348.625,12300784.4038682,21836473.7788682,4435626.4230181575
20-24,3897135.5,20,2020,Both sexes,25722173.5,12714252.5,13007921.0,12879514.04824588,25593766.54824588,3757292.7693776824
